L1,L2,totalComb,max2Opak,2/total
2,2,4,4,100.0%
2,3,6,6,100.0%
2,4,8,8,100.0%
2,5,10,10,100.0%
2,6,12,12,100.0%
2,7,14,14,100.0%
2,8,16,16,100.0%
2,9,18,18,100.0%
2,10,20,20,100.0%
2,11,22,22,100.0%
2,12,24,24,100.0%
2,13,26,26,100.0%
2,14,28,28,100.0%
2,15,30,30,100.0%
3,2,6,6,100.0%
3,3,9,9,100.0%
3,4,12,12,100.0%
3,5,15,15,100.0%
3,6,18,18,100.0%
3,7,21,21,100.0%
3,8,24,24,100.0%
3,9,27,27,100.0%
3,10,30,30,100.0%
3,11,33,33,100.0%
3,12,36,36,100.0%
3,13,39,39,100.0%
3,14,42,42,100.0%
3,15,45,45,100.0%
4,2,8,8,100.0%
4,3,12,12,100.0%
4,4,16,16,100.0%
4,5,20,20,100.0%
4,6,24,24,100.0%
4,7,28,28,100.0%
4,8,32,32,100.0%
4,9,36,36,100.0%
4,10,40,40,100.0%
4,11,44,44,100.0%
4,12,48,48,100.0%
4,13,52,52,100.0%
4,14,56,56,100.0%
4,15,60,60,100.0%
5,2,10,10,100.0%
5,3,15,15,100.0%
5,4,20,20,100.0%
5,5,25,25,100.0%
5,6,30,30,100.0%
5,7,35,35,100.0%
5,8,40,40,100.0%
5,9,45,45,100.0%
5,10,50,50,100.0%
5,11,55,55,100.0%
5,12,60,60,100.0%
5,13,65,65,100.0%
5,14,70,70,100.0%
5,15,75,75,100.0%
6,2,12,12,100.0%
6,3,18,18,100.0%
6,4,24,24,100.0%
6,5,30,30,100.0%
6,6,36,36,100.0%
6,7,42,42,100.0%
6,8,48,48,100.0%
6,9,54,54,100.0%
6,10,60,60,100.0%
6,11,66,66,100.0%
6,12,72,72,100.0%
6,13,78,78,100.0%
6,14,84,84,100.0%
6,15,90,90,100.0%
7,2,14,14,100.0%
7,3,21,21,100.0%
7,4,28,28,100.0%
7,5,35,35,100.0%
7,6,42,42,100.0%
7,7,49,49,100.0%
7,8,56,56,100.0%
7,9,63,63,100.0%
7,10,70,70,100.0%
7,11,77,77,100.0%
7,12,84,84,100.0%
7,13,91,91,100.0%
7,14,98,98,100.0%
7,15,105,105,100.0%
8,2,16,16,100.0%
8,3,24,24,100.0%
8,4,32,32,100.0%
8,5,40,40,100.0%
8,6,48,48,100.0%
8,7,56,56,100.0%
8,8,64,64,100.0%
8,9,72,72,100.0%
8,10,80,80,100.0%
8,11,88,88,100.0%
8,12,96,96,100.0%
8,13,104,104,100.0%
8,14,112,112,100.0%
8,15,120,120,100.0%
9,2,18,18,100.0%
9,3,27,27,100.0%
9,4,36,36,100.0%
9,5,45,45,100.0%
9,6,54,54,100.0%
9,7,63,63,100.0%
9,8,72,72,100.0%
9,9,81,81,100.0%
9,10,90,90,100.0%
9,11,99,99,100.0%
9,12,108,108,100.0%
9,13,117,117,100.0%
9,14,126,126,100.0%
9,15,135,135,100.0%
10,2,20,20,100.0%
10,3,30,30,100.0%
10,4,40,40,100.0%
10,5,50,50,100.0%
10,6,60,60,100.0%
10,7,70,70,100.0%
10,8,80,80,100.0%
10,9,90,90,100.0%
10,10,100,100,100.0%
10,11,110,110,100.0%
10,12,120,120,100.0%
10,13,130,130,100.0%
10,14,140,140,100.0%
10,15,150,150,100.0%
11,2,22,22,100.0%
11,3,33,33,100.0%
11,4,44,44,100.0%
11,5,55,55,100.0%
11,6,66,66,100.0%
11,7,77,77,100.0%
11,8,88,88,100.0%
11,9,99,99,100.0%
11,10,110,110,100.0%
11,11,121,121,100.0%
11,12,132,132,100.0%
11,13,143,143,100.0%
11,14,154,154,100.0%
11,15,165,165,100.0%
12,2,24,24,100.0%
12,3,36,36,100.0%
12,4,48,48,100.0%
12,5,60,60,100.0%
12,6,72,72,100.0%
12,7,84,84,100.0%
12,8,96,96,100.0%
12,9,108,108,100.0%
12,10,120,120,100.0%
12,11,132,132,100.0%
12,12,144,144,100.0%
12,13,156,156,100.0%
12,14,168,168,100.0%
12,15,180,180,100.0%
13,2,26,26,100.0%
13,3,39,39,100.0%
13,4,52,52,100.0%
13,5,65,65,100.0%
13,6,78,78,100.0%
13,7,91,91,100.0%
13,8,104,104,100.0%
13,9,117,117,100.0%
13,10,130,130,100.0%
13,11,143,143,100.0%
13,12,156,156,100.0%
13,13,169,169,100.0%
13,14,182,182,100.0%
13,15,195,195,100.0%
14,2,28,28,100.0%
14,3,42,42,100.0%
14,4,56,56,100.0%
14,5,70,70,100.0%
14,6,84,84,100.0%
14,7,98,98,100.0%
14,8,112,112,100.0%
14,9,126,126,100.0%
14,10,140,140,100.0%
14,11,154,154,100.0%
14,12,168,168,100.0%
14,13,182,182,100.0%
14,14,196,196,100.0%
14,15,210,210,100.0%
15,2,30,30,100.0%
15,3,45,45,100.0%
15,4,60,60,100.0%
15,5,75,75,100.0%
15,6,90,90,100.0%
15,7,105,105,100.0%
15,8,120,120,100.0%
15,9,135,135,100.0%
15,10,150,150,100.0%
15,11,165,165,100.0%
15,12,180,180,100.0%
15,13,195,195,100.0%
15,14,210,210,100.0%
15,15,225,225,100.0%
