L1,L2,L3,totalComb,max2Opak,max3Opak,2/total,3/total
2,2,2,8,4,8,50.0%,100.0%
2,2,3,12,4,12,33.333%,100.0%
2,2,4,16,4,16,25.0%,100.0%
2,2,5,20,4,20,20.0%,100.0%
2,2,6,24,4,24,16.667%,100.0%
2,2,7,28,4,28,14.286%,100.0%
2,2,8,32,4,32,12.5%,100.0%
2,2,9,36,4,36,11.111%,100.0%
2,2,10,40,4,40,10.0%,100.0%
2,2,11,44,4,44,9.091%,100.0%
2,2,12,48,4,48,8.333%,100.0%
2,2,13,52,4,52,7.692%,100.0%
2,2,14,56,4,56,7.143%,100.0%
2,2,15,60,4,60,6.667%,100.0%
2,3,2,12,4,12,33.333%,100.0%
2,3,3,18,5,18,27.778%,100.0%
2,3,4,24,6,24,25.0%,100.0%
2,3,5,30,6,30,20.0%,100.0%
2,3,6,36,6,36,16.667%,100.0%
2,3,7,42,6,42,14.286%,100.0%
2,3,8,48,6,48,12.5%,100.0%
2,3,9,54,6,54,11.111%,100.0%
2,3,10,60,6,60,10.0%,100.0%
2,3,11,66,6,66,9.091%,100.0%
2,3,12,72,6,72,8.333%,100.0%
2,3,13,78,6,78,7.692%,100.0%
2,3,14,84,6,84,7.143%,100.0%
2,3,15,90,6,90,6.667%,100.0%
2,4,2,16,4,16,25.0%,100.0%
2,4,3,24,6,24,25.0%,100.0%
2,4,4,32,8,32,25.0%,100.0%
2,4,5,40,8,40,20.0%,100.0%
2,4,6,48,8,48,16.667%,100.0%
2,4,7,56,8,56,14.286%,100.0%
2,4,8,64,8,64,12.5%,100.0%
2,4,9,72,8,72,11.111%,100.0%
2,4,10,80,8,80,10.0%,100.0%
2,4,11,88,8,88,9.091%,100.0%
2,4,12,96,8,96,8.333%,100.0%
2,4,13,104,8,104,7.692%,100.0%
2,4,14,112,8,112,7.143%,100.0%
2,4,15,120,8,120,6.667%,100.0%
2,5,2,20,4,20,20.0%,100.0%
2,5,3,30,6,30,20.0%,100.0%
2,5,4,40,8,40,20.0%,100.0%
2,5,5,50,9,50,18.0%,100.0%
2,5,6,60,10,60,16.667%,100.0%
2,5,7,70,10,70,14.286%,100.0%
2,5,8,80,10,80,12.5%,100.0%
2,5,9,90,10,90,11.111%,100.0%
2,5,10,100,10,100,10.0%,100.0%
2,5,11,110,10,110,9.091%,100.0%
2,5,12,120,10,120,8.333%,100.0%
2,5,13,130,10,130,7.692%,100.0%
2,5,14,140,10,140,7.143%,100.0%
2,5,15,150,10,150,6.667%,100.0%
2,6,2,24,4,24,16.667%,100.0%
2,6,3,36,6,36,16.667%,100.0%
2,6,4,48,8,48,16.667%,100.0%
2,6,5,60,10,60,16.667%,100.0%
2,6,6,72,12,72,16.667%,100.0%
2,6,7,84,12,84,14.286%,100.0%
2,6,8,96,12,96,12.5%,100.0%
2,6,9,108,12,108,11.111%,100.0%
2,6,10,120,12,120,10.0%,100.0%
2,6,11,132,12,132,9.091%,100.0%
2,6,12,144,12,144,8.333%,100.0%
2,6,13,156,12,156,7.692%,100.0%
2,6,14,168,12,168,7.143%,100.0%
2,6,15,180,12,180,6.667%,100.0%
2,7,2,28,4,28,14.286%,100.0%
2,7,3,42,6,42,14.286%,100.0%
2,7,4,56,8,56,14.286%,100.0%
2,7,5,70,10,70,14.286%,100.0%
2,7,6,84,12,84,14.286%,100.0%
2,7,7,98,13,98,13.265%,100.0%
2,7,8,112,14,112,12.5%,100.0%
2,7,9,126,14,126,11.111%,100.0%
2,7,10,140,14,140,10.0%,100.0%
2,7,11,154,14,154,9.091%,100.0%
2,7,12,168,14,168,8.333%,100.0%
2,7,13,182,14,182,7.692%,100.0%
2,7,14,196,14,196,7.143%,100.0%
2,7,15,210,14,210,6.667%,100.0%
2,8,2,32,4,32,12.5%,100.0%
2,8,3,48,6,48,12.5%,100.0%
2,8,4,64,8,64,12.5%,100.0%
2,8,5,80,10,80,12.5%,100.0%
2,8,6,96,12,96,12.5%,100.0%
2,8,7,112,14,112,12.5%,100.0%
2,8,8,128,16,128,12.5%,100.0%
2,8,9,144,16,144,11.111%,100.0%
2,8,10,160,16,160,10.0%,100.0%
2,8,11,176,16,176,9.091%,100.0%
2,8,12,192,16,192,8.333%,100.0%
2,8,13,208,16,208,7.692%,100.0%
2,8,14,224,16,224,7.143%,100.0%
2,8,15,240,16,240,6.667%,100.0%
2,9,2,36,4,36,11.111%,100.0%
2,9,3,54,6,54,11.111%,100.0%
2,9,4,72,8,72,11.111%,100.0%
2,9,5,90,10,90,11.111%,100.0%
2,9,6,108,12,108,11.111%,100.0%
2,9,7,126,14,126,11.111%,100.0%
2,9,8,144,16,144,11.111%,100.0%
2,9,9,162,17,162,10.494%,100.0%
2,9,10,180,18,180,10.0%,100.0%
2,9,11,198,18,198,9.091%,100.0%
2,9,12,216,18,216,8.333%,100.0%
2,9,13,234,18,234,7.692%,100.0%
2,9,14,252,18,252,7.143%,100.0%
2,9,15,270,18,270,6.667%,100.0%
2,10,2,40,4,40,10.0%,100.0%
2,10,3,60,6,60,10.0%,100.0%
2,10,4,80,8,80,10.0%,100.0%
2,10,5,100,10,100,10.0%,100.0%
2,10,6,120,12,120,10.0%,100.0%
2,10,7,140,14,140,10.0%,100.0%
2,10,8,160,16,160,10.0%,100.0%
2,10,9,180,18,180,10.0%,100.0%
2,10,10,200,20,200,10.0%,100.0%
2,10,11,220,20,220,9.091%,100.0%
2,10,12,240,20,240,8.333%,100.0%
2,10,13,260,20,260,7.692%,100.0%
2,10,14,280,20,280,7.143%,100.0%
2,10,15,300,20,300,6.667%,100.0%
2,11,2,44,4,44,9.091%,100.0%
2,11,3,66,6,66,9.091%,100.0%
2,11,4,88,8,88,9.091%,100.0%
2,11,5,110,10,110,9.091%,100.0%
2,11,6,132,12,132,9.091%,100.0%
2,11,7,154,14,154,9.091%,100.0%
2,11,8,176,16,176,9.091%,100.0%
2,11,9,198,18,198,9.091%,100.0%
2,11,10,220,20,220,9.091%,100.0%
2,11,11,242,21,242,8.678%,100.0%
2,11,12,264,22,264,8.333%,100.0%
2,11,13,286,22,286,7.692%,100.0%
2,11,14,308,22,308,7.143%,100.0%
2,11,15,330,22,330,6.667%,100.0%
2,12,2,48,4,48,8.333%,100.0%
2,12,3,72,6,72,8.333%,100.0%
2,12,4,96,8,96,8.333%,100.0%
2,12,5,120,10,120,8.333%,100.0%
2,12,6,144,12,144,8.333%,100.0%
2,12,7,168,14,168,8.333%,100.0%
2,12,8,192,16,192,8.333%,100.0%
2,12,9,216,18,216,8.333%,100.0%
2,12,10,240,20,240,8.333%,100.0%
2,12,11,264,22,264,8.333%,100.0%
2,12,12,288,24,288,8.333%,100.0%
2,12,13,312,24,312,7.692%,100.0%
2,12,14,336,24,336,7.143%,100.0%
2,12,15,360,24,360,6.667%,100.0%
2,13,2,52,4,52,7.692%,100.0%
2,13,3,78,6,78,7.692%,100.0%
2,13,4,104,8,104,7.692%,100.0%
2,13,5,130,10,130,7.692%,100.0%
2,13,6,156,12,156,7.692%,100.0%
2,13,7,182,14,182,7.692%,100.0%
2,13,8,208,16,208,7.692%,100.0%
2,13,9,234,18,234,7.692%,100.0%
2,13,10,260,20,260,7.692%,100.0%
2,13,11,286,22,286,7.692%,100.0%
2,13,12,312,24,312,7.692%,100.0%
2,13,13,338,25,338,7.396%,100.0%
2,13,14,364,26,364,7.143%,100.0%
2,13,15,390,26,390,6.667%,100.0%
2,14,2,56,4,56,7.143%,100.0%
2,14,3,84,6,84,7.143%,100.0%
2,14,4,112,8,112,7.143%,100.0%
2,14,5,140,10,140,7.143%,100.0%
2,14,6,168,12,168,7.143%,100.0%
2,14,7,196,14,196,7.143%,100.0%
2,14,8,224,16,224,7.143%,100.0%
2,14,9,252,18,252,7.143%,100.0%
2,14,10,280,20,280,7.143%,100.0%
2,14,11,308,22,308,7.143%,100.0%
2,14,12,336,24,336,7.143%,100.0%
2,14,13,364,26,364,7.143%,100.0%
2,14,14,392,28,392,7.143%,100.0%
2,14,15,420,28,420,6.667%,100.0%
2,15,2,60,4,60,6.667%,100.0%
2,15,3,90,6,90,6.667%,100.0%
2,15,4,120,8,120,6.667%,100.0%
2,15,5,150,10,150,6.667%,100.0%
2,15,6,180,12,180,6.667%,100.0%
2,15,7,210,14,210,6.667%,100.0%
2,15,8,240,16,240,6.667%,100.0%
2,15,9,270,18,270,6.667%,100.0%
2,15,10,300,20,300,6.667%,100.0%
2,15,11,330,22,330,6.667%,100.0%
2,15,12,360,24,360,6.667%,100.0%
2,15,13,390,26,390,6.667%,100.0%
2,15,14,420,28,420,6.667%,100.0%
2,15,15,450,29,450,6.444%,100.0%
3,2,2,12,4,12,33.333%,100.0%
3,2,3,18,5,18,27.778%,100.0%
3,2,4,24,6,24,25.0%,100.0%
3,2,5,30,6,30,20.0%,100.0%
3,2,6,36,6,36,16.667%,100.0%
3,2,7,42,6,42,14.286%,100.0%
3,2,8,48,6,48,12.5%,100.0%
3,2,9,54,6,54,11.111%,100.0%
3,2,10,60,6,60,10.0%,100.0%
3,2,11,66,6,66,9.091%,100.0%
3,2,12,72,6,72,8.333%,100.0%
3,2,13,78,6,78,7.692%,100.0%
3,2,14,84,6,84,7.143%,100.0%
3,2,15,90,6,90,6.667%,100.0%
3,3,2,18,5,18,27.778%,100.0%
3,3,3,27,7,27,25.926%,100.0%
3,3,4,36,9,36,25.0%,100.0%
3,3,5,45,9,45,20.0%,100.0%
3,3,6,54,9,54,16.667%,100.0%
3,3,7,63,9,63,14.286%,100.0%
3,3,8,72,9,72,12.5%,100.0%
3,3,9,81,9,81,11.111%,100.0%
3,3,10,90,9,90,10.0%,100.0%
3,3,11,99,9,99,9.091%,100.0%
3,3,12,108,9,108,8.333%,100.0%
3,3,13,117,9,117,7.692%,100.0%
3,3,14,126,9,126,7.143%,100.0%
3,3,15,135,9,135,6.667%,100.0%
3,4,2,24,6,24,25.0%,100.0%
3,4,3,36,9,36,25.0%,100.0%
3,4,4,48,12,48,25.0%,100.0%
3,4,5,60,12,60,20.0%,100.0%
3,4,6,72,12,72,16.667%,100.0%
3,4,7,84,12,84,14.286%,100.0%
3,4,8,96,12,96,12.5%,100.0%
3,4,9,108,12,108,11.111%,100.0%
3,4,10,120,12,120,10.0%,100.0%
3,4,11,132,12,132,9.091%,100.0%
3,4,12,144,12,144,8.333%,100.0%
3,4,13,156,12,156,7.692%,100.0%
3,4,14,168,12,168,7.143%,100.0%
3,4,15,180,12,180,6.667%,100.0%
3,5,2,30,6,30,20.0%,100.0%
3,5,3,45,9,45,20.0%,100.0%
3,5,4,60,12,60,20.0%,100.0%
3,5,5,75,13,75,17.333%,100.0%
3,5,6,90,14,90,15.556%,100.0%
3,5,7,105,15,105,14.286%,100.0%
3,5,8,120,15,120,12.5%,100.0%
3,5,9,135,15,135,11.111%,100.0%
3,5,10,150,15,150,10.0%,100.0%
3,5,11,165,15,165,9.091%,100.0%
3,5,12,180,15,180,8.333%,100.0%
3,5,13,195,15,195,7.692%,100.0%
3,5,14,210,15,210,7.143%,100.0%
3,5,15,225,15,225,6.667%,100.0%
3,6,2,36,6,36,16.667%,100.0%
3,6,3,54,9,54,16.667%,100.0%
3,6,4,72,12,72,16.667%,100.0%
3,6,5,90,14,90,15.556%,100.0%
3,6,6,108,16,108,14.815%,100.0%
3,6,7,126,17,126,13.492%,100.0%
3,6,8,144,18,144,12.5%,100.0%
3,6,9,162,18,162,11.111%,100.0%
3,6,10,180,18,180,10.0%,100.0%
3,6,11,198,18,198,9.091%,100.0%
3,6,12,216,18,216,8.333%,100.0%
3,6,13,234,18,234,7.692%,100.0%
3,6,14,252,18,252,7.143%,100.0%
3,6,15,270,18,270,6.667%,100.0%
3,7,2,42,6,42,14.286%,100.0%
3,7,3,63,9,63,14.286%,100.0%
3,7,4,84,12,84,14.286%,100.0%
3,7,5,105,15,105,14.286%,100.0%
3,7,6,126,17,126,13.492%,100.0%
3,7,7,147,19,147,12.925%,100.0%
3,7,8,168,21,168,12.5%,100.0%
3,7,9,189,21,189,11.111%,100.0%
3,7,10,210,21,210,10.0%,100.0%
3,7,11,231,21,231,9.091%,100.0%
3,7,12,252,21,252,8.333%,100.0%
3,7,13,273,21,273,7.692%,100.0%
3,7,14,294,21,294,7.143%,100.0%
3,7,15,315,21,315,6.667%,100.0%
3,8,2,48,6,48,12.5%,100.0%
3,8,3,72,9,72,12.5%,100.0%
3,8,4,96,12,96,12.5%,100.0%
3,8,5,120,15,120,12.5%,100.0%
3,8,6,144,18,144,12.5%,100.0%
3,8,7,168,21,168,12.5%,100.0%
3,8,8,192,24,192,12.5%,100.0%
3,8,9,216,24,216,11.111%,100.0%
3,8,10,240,24,240,10.0%,100.0%
3,8,11,264,24,264,9.091%,100.0%
3,8,12,288,24,288,8.333%,100.0%
3,8,13,312,24,312,7.692%,100.0%
3,8,14,336,24,336,7.143%,100.0%
3,8,15,360,24,360,6.667%,100.0%
3,9,2,54,6,54,11.111%,100.0%
3,9,3,81,9,81,11.111%,100.0%
3,9,4,108,12,108,11.111%,100.0%
3,9,5,135,15,135,11.111%,100.0%
3,9,6,162,18,162,11.111%,100.0%
3,9,7,189,21,189,11.111%,100.0%
3,9,8,216,24,216,11.111%,100.0%
3,9,9,243,25,243,10.288%,100.0%
3,9,10,270,26,270,9.63%,100.0%
3,9,11,297,27,297,9.091%,100.0%
3,9,12,324,27,324,8.333%,100.0%
3,9,13,351,27,351,7.692%,100.0%
3,9,14,378,27,378,7.143%,100.0%
3,9,15,405,27,405,6.667%,100.0%
3,10,2,60,6,60,10.0%,100.0%
3,10,3,90,9,90,10.0%,100.0%
3,10,4,120,12,120,10.0%,100.0%
3,10,5,150,15,150,10.0%,100.0%
3,10,6,180,18,180,10.0%,100.0%
3,10,7,210,21,210,10.0%,100.0%
3,10,8,240,24,240,10.0%,100.0%
3,10,9,270,26,270,9.63%,100.0%
3,10,10,300,28,300,9.333%,100.0%
3,10,11,330,29,330,8.788%,100.0%
3,10,12,360,30,360,8.333%,100.0%
3,10,13,390,30,390,7.692%,100.0%
3,10,14,420,30,420,7.143%,100.0%
3,10,15,450,30,450,6.667%,100.0%
3,11,2,66,6,66,9.091%,100.0%
3,11,3,99,9,99,9.091%,100.0%
3,11,4,132,12,132,9.091%,100.0%
3,11,5,165,15,165,9.091%,100.0%
3,11,6,198,18,198,9.091%,100.0%
3,11,7,231,21,231,9.091%,100.0%
3,11,8,264,24,264,9.091%,100.0%
3,11,9,297,27,297,9.091%,100.0%
3,11,10,330,29,330,8.788%,100.0%
3,11,11,363,31,363,8.54%,100.0%
3,11,12,396,33,396,8.333%,100.0%
3,11,13,429,33,429,7.692%,100.0%
3,11,14,462,33,462,7.143%,100.0%
3,11,15,495,33,495,6.667%,100.0%
3,12,2,72,6,72,8.333%,100.0%
3,12,3,108,9,108,8.333%,100.0%
3,12,4,144,12,144,8.333%,100.0%
3,12,5,180,15,180,8.333%,100.0%
3,12,6,216,18,216,8.333%,100.0%
3,12,7,252,21,252,8.333%,100.0%
3,12,8,288,24,288,8.333%,100.0%
3,12,9,324,27,324,8.333%,100.0%
3,12,10,360,30,360,8.333%,100.0%
3,12,11,396,33,396,8.333%,100.0%
3,12,12,432,36,432,8.333%,100.0%
3,12,13,468,36,468,7.692%,100.0%
3,12,14,504,36,504,7.143%,100.0%
3,12,15,540,36,540,6.667%,100.0%
3,13,2,78,6,78,7.692%,100.0%
3,13,3,117,9,117,7.692%,100.0%
3,13,4,156,12,156,7.692%,100.0%
3,13,5,195,15,195,7.692%,100.0%
3,13,6,234,18,234,7.692%,100.0%
3,13,7,273,21,273,7.692%,100.0%
3,13,8,312,24,312,7.692%,100.0%
3,13,9,351,27,351,7.692%,100.0%
3,13,10,390,30,390,7.692%,100.0%
3,13,11,429,33,429,7.692%,100.0%
3,13,12,468,36,468,7.692%,100.0%
3,13,13,507,37,507,7.298%,100.0%
3,13,14,546,38,546,6.96%,100.0%
3,13,15,585,39,585,6.667%,100.0%
3,14,2,84,6,84,7.143%,100.0%
3,14,3,126,9,126,7.143%,100.0%
3,14,4,168,12,168,7.143%,100.0%
3,14,5,210,15,210,7.143%,100.0%
3,14,6,252,18,252,7.143%,100.0%
3,14,7,294,21,294,7.143%,100.0%
3,14,8,336,24,336,7.143%,100.0%
3,14,9,378,27,378,7.143%,100.0%
3,14,10,420,30,420,7.143%,100.0%
3,14,11,462,33,462,7.143%,100.0%
3,14,12,504,36,504,7.143%,100.0%
3,14,13,546,38,546,6.96%,100.0%
3,14,14,588,40,588,6.803%,100.0%
3,14,15,630,41,630,6.508%,100.0%
3,15,2,90,6,90,6.667%,100.0%
3,15,3,135,9,135,6.667%,100.0%
3,15,4,180,12,180,6.667%,100.0%
3,15,5,225,15,225,6.667%,100.0%
3,15,6,270,18,270,6.667%,100.0%
3,15,7,315,21,315,6.667%,100.0%
3,15,8,360,24,360,6.667%,100.0%
