Var1,Var2,Var3,Var4,Var5
L1T1,L2T1,L3T1,L4T1,L5T1
L1T2,L2T2,L3T2,L4T1,L5T1
L1T3,L2T3,L3T3,L4T1,L5T1
L1T3,L2T2,L3T1,L4T2,L5T1
L1T1,L2T3,L3T2,L4T2,L5T1
L1T2,L2T1,L3T3,L4T2,L5T1
L1T2,L2T3,L3T1,L4T3,L5T1
L1T3,L2T1,L3T2,L4T3,L5T1
L1T1,L2T2,L3T3,L4T3,L5T1
L1T1,L2T4,L3T4,L4T4,L5T1
L1T2,L2T5,L3T5,L4T4,L5T1
L1T2,L2T4,L3T1,L4T1,L5T2
L1T1,L2T5,L3T2,L4T1,L5T2
L1T3,L2T1,L3T4,L4T1,L5T2
L1T1,L2T6,L3T1,L4T2,L5T2
L1T3,L2T4,L3T2,L4T2,L5T2
L1T2,L2T2,L3T4,L4T2,L5T2
L1T3,L2T5,L3T1,L4T3,L5T2
L1T2,L2T6,L3T2,L4T3,L5T2
L1T1,L2T3,L3T4,L4T3,L5T2
L1T1,L2T1,L3T3,L4T4,L5T2
L1T3,L2T2,L3T5,L4T4,L5T2
L1T3,L2T6,L3T1,L4T1,L5T3
L1T1,L2T4,L3T3,L4T1,L5T3
L1T2,L2T3,L3T4,L4T1,L5T3
L1T2,L2T5,L3T1,L4T2,L5T3
L1T1,L2T1,L3T4,L4T2,L5T3
L1T3,L2T3,L3T5,L4T2,L5T3
L1T3,L2T2,L3T4,L4T3,L5T3
L1T2,L2T1,L3T5,L4T3,L5T3
L1T1,L2T2,L3T1,L4T4,L5T3
L1T2,L2T4,L3T2,L4T4,L5T3
L1T3,L2T5,L3T3,L4T4,L5T3
